,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
631,Yeni tikili,64,2,var,140000,mülkiyyətçi,300,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,4,20,631
632,Köhnə tikili,80,3,var,85000,vasitəçi (agent),196,Bakı,,,,,,,,,,5,5,632
633,Köhnə tikili,70,3,var,114000,vasitəçi (agent),183,Xalqlar Dostluğu m.,Nizami r.,,,,,,,,,5,9,633
634,Yeni tikili,143,3,var,195000,vasitəçi (agent),545,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,11,17,634
635,Yeni tikili,220,4,var,575000,mülkiyyətçi,23314,Azərbaycan turizm institutu,Gənclik m.,Nərimanov r.,,,,,,,,8,11,635
636,Köhnə tikili,76,3,var,95000,vasitəçi (agent),108,Xətai r.,,,,,,,,,,6,9,636
637,Köhnə tikili,110,3,var,155000,vasitəçi (agent),869,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,2,5,637
638,Yeni tikili,115,3,yoxdur,106000,vasitəçi (agent),185,Yasamal r.,Yeni Yasamal q.,,,,,,,,,18,21,638
639,Yeni tikili,28,1,var,59500,mülkiyyətçi,385,Yasamal r.,Yasamal q.,,,,,,,,,3,16,639
640,Yeni tikili,50,2,var,80000,vasitəçi (agent),277,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,16,19,640
641,Yeni tikili,169,4,var,400000,vasitəçi (agent),433,Bakı Dövlət Universiteti,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,9,18,641
642,Yeni tikili,117,3,var,210000,vasitəçi (agent),115,Zabitlər parkı,Sirk,Azərbaycan Dillər Universiteti,Nəsimi r.,,,,,,,3,17,642
643,Yeni tikili,145,4,yoxdur,180000,vasitəçi (agent),767,Yasamal r.,Yasamal q.,,,,,,,,,12,17,643
644,Yeni tikili,70,2,var,136000,mülkiyyətçi,893,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,12,21,644
645,Köhnə tikili,100,4,yoxdur,155000,vasitəçi (agent),180,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,3,9,645
646,Köhnə tikili,80,3,var,129000,vasitəçi (agent),2256,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,9,9,646
647,Yeni tikili,58,2,var,125000,mülkiyyətçi,1667,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,7,16,647
648,Yeni tikili,130,3,yoxdur,280000,mülkiyyətçi,1893,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,6,12,648
649,Yeni tikili,62,2,var,95000,vasitəçi (agent),617,20 Yanvar m.,Yasamal r.,,,,,,,,,12,20,649
650,Yeni tikili,170,4,var,309000,vasitəçi (agent),315,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,16,18,650
651,Köhnə tikili,140,5,var,193000,vasitəçi (agent),176,TQDK,Neftçi bazası,Nərimanov r.,,,,,,,,3,9,651
652,Yeni tikili,121.5,3,yoxdur,80000,mülkiyyətçi,121,Abşeron r.,Masazır q.,,,,,,,,,6,8,652
653,Yeni tikili,100,2,var,150000,vasitəçi (agent),654,Nizami m.,Dövlət Statistika Komitəsi,İncəsənət və Mədəniyyət Un.,Yasamal r.,,,,,,,5,15,653
654,Köhnə tikili,100,3,var,110000,vasitəçi (agent),120,Nizami r.,,,,,,,,,,4,7,654
655,Köhnə tikili,85,3,var,115000,vasitəçi (agent),370,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,9,9,655
656,Yeni tikili,116,3,var,173000,vasitəçi (agent),309,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,4,8,656
657,Yeni tikili,180,4,var,325000,vasitəçi (agent),318,Tibb Universiteti,İdman kompleksi,Nəsimi r.,,,,,,,,6,17,657
658,Yeni tikili,172,4,yoxdur,146200,201,Dünən 20,Nərimanov r.,,,,,,,,,,10,21,658
659,Yeni tikili,191,4,yoxdur,210000,mülkiyyətçi,286,Neftçilər m.,Nizami r.,,,,,,,,,10,17,659
660,Yeni tikili,145,3,yoxdur,125000,mülkiyyətçi,254,Nizami r.,8-ci kilometr q.,,,,,,,,,9,18,660
661,Köhnə tikili,62,3,var,118000,vasitəçi (agent),1124,Rusiya səfirliyi,Park Zorge,Sevil Qazıyeva parkı,Nəsimi r.,,,,,,,4,5,661
662,Köhnə tikili,47,2,var,88000,vasitəçi (agent),509,Nəriman Nərimanov parkı,Nəriman Nərimanov m.,Rəssamlıq Akademiyası,Nərimanov r.,,,,,,,4,5,662
663,Köhnə tikili,50,2,var,57000,vasitəçi (agent),484,Nərimanov r.,,,,,,,,,,5,9,663
664,Köhnə tikili,120,4,var,175000,vasitəçi (agent),537,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,4,4,664
665,Köhnə tikili,120,5,var,127000,vasitəçi (agent),108,Neapol dairəsi,Xətai r.,,,,,,,,,8,9,665
666,Yeni tikili,135,3,var,289000,mülkiyyətçi,10058,İncəsənət və Mədəniyyət Un.,Nizami m.,Yasamal r.,,,,,,,,12,15,666
667,Yeni tikili,183.3,4,var,250000,mülkiyyətçi,230,Nəriman Nərimanov m.,Nəriman Nərimanov parkı,Nərimanov r.,,,,,,,,16,17,667
668,Köhnə tikili,45,2,var,85000,vasitəçi (agent),146,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,5,5,668
669,Yeni tikili,140,3,var,245000,mülkiyyətçi,1451,Bakı Slavyan Universiteti,Azərbaycan Dillər Universiteti,28 May m.,Nəsimi r.,,,,,,,5,12,669
670,Yeni tikili,144,4,yoxdur,225000,vasitəçi (agent),702,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,14,17,670
671,Yeni tikili,129,3,var,240000,vasitəçi (agent),202,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,6,17,671
672,Köhnə tikili,80,3,var,107000,vasitəçi (agent),143,Nizami r.,8-ci kilometr q.,,,,,,,,,5,9,672
673,Köhnə tikili,57,2,var,74000,vasitəçi (agent),182,Yasamal r.,Yeni Yasamal q.,,,,,,,,,4,9,673
674,Yeni tikili,109,3,var,98000,mülkiyyətçi,965,Qaradağ r.,Lökbatan q.,,,,,,,,,8,9,674
675,Yeni tikili,60,2,var,125000,vasitəçi (agent),164,Təhsil Nazirliyi,Nərimanov r.,,,,,,,,,10,17,675
676,Köhnə tikili,80,2,var,205000,mülkiyyətçi,191,Qubernator parkı,Prezident parkı,İçəri Şəhər m.,Dövlət İdarəçilik Akademiyası,Şəlalə parkı,Azneft meydanı,Axundov bağı,İqsadiyyat Universiteti,İçəri Şəhər,Səbail r.,2,4,676
677,Yeni tikili,236,4,yoxdur,250000,vasitəçi (agent),2830,İnşaatçılar m.,Yasamal r.,,,,,,,,,12,16,677
678,Köhnə tikili,117,4,var,260000,vasitəçi (agent),156,Dövlət Statistika Komitəsi,İzmir parkı,M.Hüseynzadə parkı,Yasamal r.,,,,,,,2,5,678
679,Yeni tikili,55,2,yoxdur,75000,vasitəçi (agent),3244,Memar Əcəmi m.,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,6,16,679
680,Köhnə tikili,55,2,var,105000,vasitəçi (agent),164,Elmlər Akademiyası m.,Hüseyn Cavid parkı,Yasamal r.,,,,,,,,5,5,680
681,Köhnə tikili,58,2,var,82000,vasitəçi (agent),195,28 May m.,Səməd Vurğun parkı,Neft Akademiyası,Nəsimi r.,,,,,,,5,5,681
682,Yeni tikili,54,2,var,94000,vasitəçi (agent),123,Yasamal r.,Yeni Yasamal q.,,,,,,,,,8,19,682
683,Yeni tikili,224,4,var,420000,vasitəçi (agent),196,Nəsimi bazarı,TQDK,Nəsimi r.,,,,,,,,5,16,683
684,Köhnə tikili,70,3,var,95000,vasitəçi (agent),142,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,1,5,684
685,Yeni tikili,68,2,yoxdur,120000,mülkiyyətçi,318,Tibb Universiteti,Nəsimi r.,,,,,,,,,6,18,685
686,Yeni tikili,94,2,var,150000,vasitəçi (agent),125,Nəsimi r.,,,,,,,,,,14,19,686
687,Yeni tikili,82.5,2,var,108000,vasitəçi (agent),164,Yasamal r.,Yeni Yasamal q.,,,,,,,,,6,10,687
688,Yeni tikili,114,3,yoxdur,135000,vasitəçi (agent),1954,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,17,17,688
689,Yeni tikili,196,4,var,700000,mülkiyyətçi,1674,Sevil Qazıyeva parkı,M.Hüseynzadə parkı,Rusiya səfirliyi,Yasamal r.,Yasamal q.,,,,,,6,14,689
690,Yeni tikili,105,2,yoxdur,145000,mülkiyyətçi,120,Neftçi bazası,Nəsimi r.,,,,,,,,,11,17,690
691,Yeni tikili,110,3,yoxdur,165000,vasitəçi (agent),128,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,10,16,691
692,Yeni tikili,127,3,var,172000,vasitəçi (agent),141,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,5,7,692
693,Yeni tikili,164,3,yoxdur,215000,vasitəçi (agent),110,Tibb Universiteti,Nəsimi r.,,,,,,,,,10,16,693
694,Köhnə tikili,1,var,,47500,676,Bugün 13,Yasamal r.,Yasamal q.,,,,,,,,,30 m²,,694
695,Yeni tikili,135.6,3,yoxdur,135500,mülkiyyətçi,222,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,16,20,695
696,Yeni tikili,110,3,var,200000,vasitəçi (agent),136,Nizami m.,Beşmərtəbə,Yasamal r.,,,,,,,,3,12,696
697,Yeni tikili,68,1,yoxdur,105000,vasitəçi (agent),3296,Yasamal r.,,,,,,,,,,8,16,697
698,Köhnə tikili,90,3,var,115000,vasitəçi (agent),264,Xalqlar Dostluğu m.,Nizami r.,,,,,,,,,2,9,698
699,Yeni tikili,52,2,yoxdur,78000,vasitəçi (agent),173,Yasamal r.,Yeni Yasamal q.,,,,,,,,,10,12,699
700,Köhnə tikili,130,5,var,177000,vasitəçi (agent),101,Ayna Sultanova heykəli,Binəqədi r.,,,,,,,,,3,5,700
701,Köhnə tikili,65,2,var,99000,vasitəçi (agent),173,Yasamal r.,,,,,,,,,,11,12,701
702,Yeni tikili,82,2,var,130000,vasitəçi (agent),1001,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,4,12,702
703,Yeni tikili,68,2,yoxdur,112000,mülkiyyətçi,1301,Zərifə Əliyeva adına park,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,9,17,703
704,Yeni tikili,60,2,var,77000,vasitəçi (agent),299,Xalqlar Dostluğu m.,Nizami r.,8-ci kilometr q.,,,,,,,,16,18,704
705,Yeni tikili,165,4,var,350000,vasitəçi (agent),123,Park Zorge,Koala parkı,Nəsimi bazarı,Dostluq kinoteatrı,Rusiya səfirliyi,Nəsimi r.,,,,,10,17,705
706,Yeni tikili,210,4,var,599000,mülkiyyətçi,1917,Bakı Slavyan Universiteti,Azərbaycan Dillər Universiteti,Sirk,28 May m.,Nəsimi r.,,,,,,14,19,706
707,Köhnə tikili,30,2,var,56000,vasitəçi (agent),264,Memar Əcəmi m.,Nəsimi r.,5-ci mikrorayon q.,,,,,,,,4,5,707
708,Yeni tikili,215,3,var,585000,vasitəçi (agent),1059,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,10,24,708
709,Köhnə tikili,33,1,var,49500,vasitəçi (agent),239,20 Yanvar m.,Memar Əcəmi m.,Nəsimi r.,,,,,,,,5,5,709
710,Köhnə tikili,90,3,var,202000,vasitəçi (agent),256,Dövlət Statistika Komitəsi,İncəsənət və Mədəniyyət Un.,Nizami m.,Yasamal r.,,,,,,,2,5,710
711,Yeni tikili,97,3,yoxdur,131000,vasitəçi (agent),283,Tibb Universiteti,Neftçi bazası,Nərimanov r.,,,,,,,,15,17,711
712,Köhnə tikili,45,2,var,110000,mülkiyyətçi,1499,Cavanşir körpüsü,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,2,5,712
713,Yeni tikili,125,3,var,310000,vasitəçi (agent),814,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,14,18,713
714,Köhnə tikili,55,2,var,133000,vasitəçi (agent),167,Hüseyn Cavid parkı,Texniki Universiteti,Sovetski,Elmlər Akademiyası m.,Yasamal r.,,,,,,5,5,714
715,Yeni tikili,115,3,yoxdur,102600,mülkiyyətçi,2911,Bakı Asiya Universiteti,Nəsimi r.,3-cü mikrorayon q.,,,,,,,,17,18,715
716,Köhnə tikili,85,3,var,155000,vasitəçi (agent),195,Azərbaycan turizm institutu,Respublika stadionu,Gənclik m.,Nərimanov r.,,,,,,,8,10,716
717,Yeni tikili,151,3,var,300000,vasitəçi (agent),107,Gənclik m.,Respublika stadionu,Nərimanov r.,,,,,,,,7,16,717
718,Yeni tikili,110,3,var,250000,vasitəçi (agent),143,Hüseyn Cavid parkı,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,14,17,718
719,Yeni tikili,84,2,var,158000,vasitəçi (agent),162,20 Yanvar m.,Yasamal r.,,,,,,,,,18,19,719
720,Köhnə tikili,55,2,var,98000,vasitəçi (agent),168,Rəssamlıq Akademiyası,Nəriman Nərimanov parkı,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,5,5,720
721,Yeni tikili,101,3,var,125000,vasitəçi (agent),325,Qara Qarayev m.,Nizami r.,,,,,,,,,2,16,721
722,Yeni tikili,123,3,yoxdur,149000,vasitəçi (agent),633,Yasamal r.,,,,,,,,,,12,22,722
723,Köhnə tikili,70,3,var,91500,vasitəçi (agent),282,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,2,5,723
724,Yeni tikili,134.5,3,yoxdur,132000,mülkiyyətçi,3358,Xətai r.,,,,,,,,,,11,16,724
725,Köhnə tikili,50,2,var,50000,vasitəçi (agent),179,Suraxanı r.,Yeni Suraxanı q.,,,,,,,,,2,3,725
726,Köhnə tikili,50,2,yoxdur,65000,vasitəçi (agent),195,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,4,4,726
727,Yeni tikili,138,3,var,203000,vasitəçi (agent),117,Bakı,,,,,,,,,,12,17,727
728,Köhnə tikili,60,2,var,95000,vasitəçi (agent),251,İzmir parkı,İdman kompleksi,Yasamal r.,,,,,,,,2,4,728
729,Yeni tikili,65,2,var,138000,mülkiyyətçi,1000,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,8,20,729
730,Köhnə tikili,70,3,var,96000,vasitəçi (agent),216,Sabunçu r.,Bakıxanov q.,,,,,,,,,2,9,730
731,Yeni tikili,147,4,yoxdur,96000,vasitəçi (agent),1640,Yasamal r.,,,,,,,,,,19,22,731
732,Yeni tikili,83,2,var,96000,vasitəçi (agent),180,Nizami r.,,,,,,,,,,9,17,732
733,Yeni tikili,126,3,yoxdur,110000,vasitəçi (agent),148,Bakı,,,,,,,,,,3,19,733
734,Yeni tikili,125,3,yoxdur,260000,vasitəçi (agent),134,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,13,19,734
735,Köhnə tikili,70,3,var,108000,vasitəçi (agent),153,Yasamal bazarı,Yasamal r.,,,,,,,,,5,5,735
736,Köhnə tikili,64,2,var,62000,mülkiyyətçi,309,Xətai r.,Əhmədli q.,,,,,,,,,7,9,736
737,Köhnə tikili,90,3,var,144000,vasitəçi (agent),297,İnşaatçılar m.,Yasamal bazarı,Yasamal r.,,,,,,,,6,9,737
738,Yeni tikili,230,4,var,440000,vasitəçi (agent),508,Koala parkı,Nəsimi bazarı,Dostluq kinoteatrı,Park Zorge,Nəsimi r.,,,,,,10,19,738
739,Yeni tikili,140,3,var,330000,vasitəçi (agent),2111,Gənclik m.,Respublika stadionu,Nəsimi r.,,,,,,,,16,18,739
740,Köhnə tikili,60,2,var,83000,vasitəçi (agent),205,Ayna Sultanova heykəli,Nərimanov r.,,,,,,,,,9,9,740
741,Yeni tikili,90,3,yoxdur,54000,vasitəçi (agent),693,Abşeron r.,Masazır q.,,,,,,,,,6,10,741
742,Köhnə tikili,67,4,var,150000,mülkiyyətçi,132,Səbail r.,,,,,,,,,,8,9,742
743,Köhnə tikili,130,5,var,175000,151,Dünən 16,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,,7,9,743
744,Yeni tikili,135,4,yoxdur,169000,vasitəçi (agent),112,Nizami r.,8-ci kilometr q.,,,,,,,,,5,12,744
745,Yeni tikili,71,2,var,110000,vasitəçi (agent),194,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,8,12,745
746,Yeni tikili,110,2,var,210000,vasitəçi (agent),229,Səbail r.,Badamdar q.,,,,,,,,,16,20,746
747,Yeni tikili,45,2,var,87000,mülkiyyətçi,909,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,14,18,747
748,Köhnə tikili,65,3,var,115000,vasitəçi (agent),856,Memar Əcəmi m.,Nəsimi r.,2-ci mikrorayon q.,,,,,,,,2,5,748
749,Köhnə tikili,70,3,var,120000,vasitəçi (agent),451,Dostluq kinoteatrı,Bakı Slavyan Universiteti,Azərbaycan Dillər Universiteti,Koala parkı,,,,,,,3,4,749
750,Yeni tikili,47,2,yoxdur,33000,vasitəçi (agent),238,Abşeron r.,Masazır q.,,,,,,,,,7,11,750
751,Yeni tikili,105,3,yoxdur,187000,mülkiyyətçi,113,Koala parkı,Zoopark,Nəsimi bazarı,Dostluq kinoteatrı,Nəsimi r.,,,,,,3,16,751
752,Yeni tikili,110,2,yoxdur,165000,vasitəçi (agent),169,Təhsil Nazirliyi,Nərimanov r.,,,,,,,,,6,17,752
753,Yeni tikili,145,3,yoxdur,300000,vasitəçi (agent),2203,Ağ şəhər,Xətai r.,,,,,,,,,5,7,753
754,Yeni tikili,76,2,yoxdur,43000,vasitəçi (agent),190,Xırdalan,,,,,,,,,,6,7,754
755,Yeni tikili,193,3,var,300000,vasitəçi (agent),340,Hüseyn Cavid parkı,Texniki Universiteti,Sovetski,Elmlər Akademiyası m.,Yasamal r.,,,,,,15,20,755
756,Yeni tikili,107,3,var,155000,mülkiyyətçi,895,Yasamal bazarı,Yasamal r.,Yasamal q.,,,,,,,,6,7,756
757,Köhnə tikili,54,2,var,65700,vasitəçi (agent),322,Xətai r.,Əhmədli q.,,,,,,,,,7,9,757
758,Yeni tikili,147,4,yoxdur,98000,vasitəçi (agent),990,Yasamal r.,,,,,,,,,,9,22,758
759,Yeni tikili,130,3,var,200000,vasitəçi (agent),147,28 May m.,Neft Akademiyası,Bakı Slavyan Universiteti,Nəsimi r.,,,,,,,10,15,759
760,Yeni tikili,110,3,yoxdur,145000,mülkiyyətçi,171,Neftçi bazası,Tibb Universiteti,Nəsimi r.,,,,,,,,6,17,760
761,Yeni tikili,185,4,var,425000,vasitəçi (agent),281,Neft Akademiyası,28 May m.,Səməd Vurğun parkı,Bakı Musiqi Akademiyası,Milli Konservatoriya,Nəsimi r.,,,,,9,20,761
762,Yeni tikili,154,3,yoxdur,235000,vasitəçi (agent),410,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,18,20,762
763,Yeni tikili,60,2,yoxdur,98000,vasitəçi (agent),169,Gənclik m.,Respublika stadionu,Nəsimi r.,,,,,,,,8,10,763
764,Köhnə tikili,60,2,var,92000,vasitəçi (agent),328,İnşaatçılar m.,,,,,,,,,,1,9,764
765,Yeni tikili,90,2,yoxdur,194000,mülkiyyətçi,1414,Nəsimi bazarı,Nəsimi r.,,,,,,,,,9,14,765
766,Köhnə tikili,60,3,var,84000,vasitəçi (agent),635,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,5,5,766
767,Köhnə tikili,65,2,var,94000,vasitəçi (agent),158,Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,2,5,767
768,Yeni tikili,68,3,yoxdur,49000,vasitəçi (agent),1298,Abşeron r.,Masazır q.,,,,,,,,,1,4,768
769,Yeni tikili,350,4,yoxdur,550000,mülkiyyətçi,152,Nəsimi bazarı,Koala parkı,Nəsimi r.,,,,,,,,8,17,769
770,Yeni tikili,58,2,yoxdur,67000,vasitəçi (agent),328,İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.,,,,,,,,15,16,770
771,Yeni tikili,160,3,var,340000,vasitəçi (agent),1362,Cavanşir körpüsü,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,7,17,771
772,Yeni tikili,85,3,yoxdur,60500,mülkiyyətçi,290,Xırdalan,,,,,,,,,,7,11,772
773,Yeni tikili,144,2,yoxdur,172000,vasitəçi (agent),110,Yasamal bazarı,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,21,22,773
774,Köhnə tikili,50,2,var,71000,vasitəçi (agent),204,Memar Əcəmi m.,Nəsimi r.,3-cü mikrorayon q.,,,,,,,,2,5,774
775,Yeni tikili,88,2,var,116000,vasitəçi (agent),618,Həzi Aslanov m.,Xətai r.,,,,,,,,,14,19,775
776,Yeni tikili,101,2,yoxdur,97000,mülkiyyətçi,184,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,9,19,776
777,Yeni tikili,105,3,var,155000,vasitəçi (agent),171,Yasamal bazarı,Elmlər Akademiyası m.,Yasamal r.,,,,,,,,15,17,777
778,Yeni tikili,94,2,yoxdur,125000,mülkiyyətçi,254,Nəriman Nərimanov m.,Nərimanov r.,,,,,,,,,6,16,778
779,Yeni tikili,85,3,var,125000,vasitəçi (agent),147,Memar Əcəmi m.,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,9,9,779
780,Yeni tikili,103,3,var,215000,vasitəçi (agent),104,Yasamal bazarı,İnşaatçılar m.,Yasamal r.,,,,,,,,3,16,780
781,Köhnə tikili,33,1,var,59000,vasitəçi (agent),219,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,3,5,781
782,Köhnə tikili,60,3,var,98000,vasitəçi (agent),285,İnşaatçılar m.,Yasamal r.,,,,,,,,,3,9,782
783,Yeni tikili,43,1,yoxdur,38000,vasitəçi (agent),167,Xırdalan,,,,,,,,,,4,6,783
784,Köhnə tikili,80,3,var,112000,mülkiyyətçi,1267,Binəqədi r.,,,,,,,,,,9,9,784
785,Yeni tikili,103,2,yoxdur,82400,vasitəçi (agent),705,Yasamal r.,,,,,,,,,,14,22,785
786,Köhnə tikili,65,3,var,107000,vasitəçi (agent),145,Yasamal bazarı,İnşaatçılar m.,Yasamal r.,,,,,,,,2,5,786
787,Yeni tikili,56.4,1,var,67000,mülkiyyətçi,307,Qara Qarayev m.,Nizami r.,8-ci kilometr q.,,,,,,,,9,13,787
788,Köhnə tikili,30,1,yoxdur,60000,vasitəçi (agent),218,Yasamal r.,,,,,,,,,,8,9,788
789,Yeni tikili,145,4,var,160000,mülkiyyətçi,172,Xalqlar Dostluğu m.,Nizami r.,8-ci kilometr q.,,,,,,,,14,17,789
790,Yeni tikili,108,3,var,320000,vasitəçi (agent),92,Dostluq kinoteatrı,Koala parkı,Azərbaycan Dillər Universiteti,Nəsimi r.,,,,,,,18,19,790
791,Köhnə tikili,90,3,var,128000,vasitəçi (agent),327,Şəhidlər xiyabanı,Səbail r.,,,,,,,,,8,10,791
792,Yeni tikili,85,2,var,130000,vasitəçi (agent),441,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,14,18,792
793,Köhnə tikili,48,3,var,78000,vasitəçi (agent),652,Memar Əcəmi m.,Nəsimi r.,2-ci mikrorayon q.,,,,,,,,2,5,793
794,Köhnə tikili,70,3,var,87000,vasitəçi (agent),138,Gəncə,,,,,,,,,,2,5,794
795,Yeni tikili,190,4,var,245000,vasitəçi (agent),145,Nərimanov heykəli,Sovetski,Space TV,Yasamal r.,,,,,,,2,16,795
796,Yeni tikili,165,4,var,299000,vasitəçi (agent),415,Şərq bazarı,Nərimanov r.,,,,,,,,,14,17,796
797,Köhnə tikili,145,4,var,145000,vasitəçi (agent),269,Ayna Sultanova heykəli,,,,,,,,,,2,9,797
798,Yeni tikili,90.5,2,var,140000,mülkiyyətçi,4470,20 Yanvar m.,Nəsimi r.,,,,,,,,,15,18,798
799,Yeni tikili,150,4,var,200000,vasitəçi (agent),126,Xalqlar Dostluğu m.,Nizami r.,,,,,,,,,2,12,799
800,Yeni tikili,100,3,yoxdur,94000,vasitəçi (agent),189,Nizami r.,8-ci kilometr q.,,,,,,,,,12,16,800
801,Yeni tikili,74,2,var,125000,mülkiyyətçi,3153,Memar Əcəmi m.,Nəsimi r.,3-cü mikrorayon q.,,,,,,,,8,12,801
802,Yeni tikili,90,3,var,74000,vasitəçi (agent),166,Abşeron r.,Masazır q.,,,,,,,,,7,9,802
803,Yeni tikili,100,3,yoxdur,129000,vasitəçi (agent),580,İdman kompleksi,Nəsimi r.,,,,,,,,,10,19,803
804,Yeni tikili,123,3,yoxdur,165000,vasitəçi (agent),137,Tibb Universiteti,Nəsimi r.,,,,,,,,,12,16,804
805,Köhnə tikili,51,2,var,85000,mülkiyyətçi,287,Zərifə Əliyeva adına park,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,3,9,805
806,Köhnə tikili,110,4,var,440000,vasitəçi (agent),161,Sahil m.,Sahil bağı,Malokan bağı,Xalça Muzeyi,Nizami kinoteatrı,Pedaqoji Universiteti,Səbail r.,,,,3,4,806
807,Yeni tikili,52.5,2,yoxdur,60000,vasitəçi (agent),233,Yasamal r.,Yeni Yasamal q.,,,,,,,,,4,17,807
808,Yeni tikili,303,6,var,1000000,vasitəçi (agent),176,Azərbaycan Dillər Universiteti,Bakı Slavyan Universiteti,Sirk,28 May m.,Nəsimi r.,,,,,,6,14,808
809,Köhnə tikili,60,2,var,105000,vasitəçi (agent),390,İnşaatçılar m.,Yasamal r.,,,,,,,,,3,9,809
810,Yeni tikili,190,4,var,389000,mülkiyyətçi,1278,Şah İsmayıl Xətai m.,Cavanşir körpüsü,Xətai r.,,,,,,,,9,11,810
811,Yeni tikili,97,2,yoxdur,97000,vasitəçi (agent),168,Dərnəgül m.,Binəqədi r.,,,,,,,,,11,16,811
812,Yeni tikili,100,3,yoxdur,125000,vasitəçi (agent),132,Yasamal r.,Yeni Yasamal q.,,,,,,,,,7,13,812
813,Yeni tikili,148,3,var,270000,vasitəçi (agent),123,Nərimanov heykəli,Sovetski,Yasamal r.,Yasamal q.,,,,,,,4,16,813
814,Köhnə tikili,50,2,var,55000,mülkiyyətçi,223,Qaradağ r.,Lökbatan q.,,,,,,,,,1,4,814
815,Yeni tikili,68,1,yoxdur,76000,vasitəçi (agent),2060,Yasamal r.,,,,,,,,,,7,18,815
816,Yeni tikili,136,3,var,257000,mülkiyyətçi,240,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,9,17,816
817,Yeni tikili,120,3,yoxdur,198000,vasitəçi (agent),138,Elmlər Akademiyası m.,Yasamal r.,Yasamal q.,,,,,,,,7,16,817
818,Köhnə tikili,95,3,var,135000,vasitəçi (agent),396,İnşaatçılar m.,Yasamal r.,,,,,,,,,7,9,818
819,Yeni tikili,211,4,var,316500,vasitəçi (agent),1399,Cavanşir körpüsü,Xətai r.,,,,,,,,,5,16,819
820,Köhnə tikili,100,4,var,132000,vasitəçi (agent),188,Binəqədi r.,9-cu mikrorayon q.,,,,,,,,,4,9,820
821,Yeni tikili,147,4,yoxdur,101000,vasitəçi (agent),366,Yasamal r.,,,,,,,,,,5,22,821
822,Yeni tikili,102,2,yoxdur,112200,mülkiyyətçi,899,Neftçilər m.,Nizami r.,8-ci kilometr q.,,,,,,,,12,17,822
823,Yeni tikili,100,2,yoxdur,180000,vasitəçi (agent),247,Koala parkı,Dostluq kinoteatrı,Zoopark,Nəsimi bazarı,Nəsimi r.,,,,,,15,17,823
