,nov,sahe,otaq,kupca,qiymet,elani_yerlesdiren,baxis_sayi,Adres_1,Adres_2,Adres_3,Adres_4,Adres_5,Adres_6,Adres_7,Adres_8,Adres_9,Adres_10,min_mertebe,max_mertebe,ID
372,Yeni tikili,180,3,var,400000,vasitəçi (agent),462,Gənclik m.,Respublika stadionu,Nərimanov r.,,,,,,,,9,17,372
373,Yeni tikili,135,3,yoxdur,238000,vasitəçi (agent),125,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,8,8,373
374,Yeni tikili,110,3,yoxdur,124000,vasitəçi (agent),199,Binəqədi r.,8-ci mikrorayon q.,,,,,,,,,17,17,374
375,Yeni tikili,125,3,var,260000,vasitəçi (agent),90,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,13,19,375
376,Yeni tikili,120,3,var,230000,vasitəçi (agent),119,Neft Akademiyası,28 May m.,Bakı Musiqi Akademiyası,Milli Konservatoriya,Səməd Vurğun parkı,Nəsimi r.,,,,,18,23,376
377,Yeni tikili,45,2,var,45000,mülkiyyətçi,4219,Xırdalan,,,,,,,,,,2,5,377
378,Köhnə tikili,35,1,var,36000,vasitəçi (agent),146,Sumqayıt,,,,,,,,,,4,5,378
379,Yeni tikili,55,2,yoxdur,40000,mülkiyyətçi,1998,Abşeron r.,Masazır q.,,,,,,,,,1,6,379
380,Yeni tikili,75.2,3,var,48880,vasitəçi (agent),192,Abşeron r.,Masazır q.,,,,,,,,,2,6,380
381,Yeni tikili,354,5,yoxdur,630000,vasitəçi (agent),347,Zoopark,Nərimanov r.,,,,,,,,,19,19,381
382,Yeni tikili,160,4,yoxdur,250000,vasitəçi (agent),113,Memar Əcəmi m.,Nəsimi r.,4-cü mikrorayon q.,,,,,,,,16,18,382
383,Yeni tikili,120,3,var,245000,vasitəçi (agent),154,Nəsimi bazarı,Park Zorge,Tibb Universiteti,Nəsimi r.,,,,,,,14,17,383
384,Yeni tikili,142,3,yoxdur,156200,vasitəçi (agent),133,İnşaatçılar m.,Yasamal r.,,,,,,,,,4,18,384
385,Yeni tikili,184,4,var,265000,vasitəçi (agent),239,Tibb Universiteti,Park Zorge,Nəsimi r.,,,,,,,,14,16,385
386,Köhnə tikili,60,2,var,112000,vasitəçi (agent),217,Koala parkı,Dostluq kinoteatrı,Nəsimi bazarı,Zoopark,Nəsimi r.,,,,,,5,7,386
387,Yeni tikili,112,3,yoxdur,188000,vasitəçi (agent),751,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,,15,18,387
388,Yeni tikili,174,3,var,259000,mülkiyyətçi,2222,Dövlət Statistika Komitəsi,İzmir parkı,M.Hüseynzadə parkı,Nizami m.,Yasamal r.,,,,,,10,22,388
389,Yeni tikili,140,3,var,176000,vasitəçi (agent),196,Memar Əcəmi m.,Nəsimi r.,,,,,,,,,12,18,389
390,Yeni tikili,71,2,yoxdur,72000,vasitəçi (agent),305,Həzi Aslanov m.,Xətai r.,Həzi Aslanov q.,,,,,,,,5,17,390
391,Köhnə tikili,60,2,var,108000,vasitəçi (agent),173,Cavanşir körpüsü,Şah İsmayıl Xətai m.,Xətai r.,,,,,,,,2,5,391
392,Yeni tikili,93,2,var,140000,vasitəçi (agent),184,Bakı Asiya Universiteti,Nəsimi r.,,,,,,,,,4,18,392
