Qiymet,sign,Sheher,Marka,Model,Buraxilish_ili,Ban_novu,Reng,Muherrik_hecm,Muherrik_guc,Yanacaq_novu,Yurush,Suret_qutusu,Oturucu,Yeni,barter_mumkundurmu
13000,AZN,Bakı,Mercedes,E 200,2001,Sedan,Göy,2,136,Benzin,159000,Avtomat,Arxa,Xeyr,Xeyr
30700,$,Bakı,Mitsubishi,Pajero,2014,Offroader / SUV,Ağ,3.2,200,Dizel,97500,Avtomat,Tam,Xeyr,Xeyr
8400,AZN,Bakı,LADA (VAZ),2115,2011,Sedan,Qara,1.5,75,Benzin,184000,Mexaniki,Ön,Xeyr,Xeyr
7800,AZN,Şəki,LADA (VAZ),2115,2011,Sedan,Gümüşü,1.6,75,Benzin,151000,Mexaniki,Ön,Xeyr,Xeyr
28700,$,Bakı,Infiniti,Q50,2016,Sedan,Qara,2.2,170,Dizel,9000,Avtomat,Ön,Xeyr,Xeyr
11800,AZN,Bakı,LADA (VAZ),Niva,2014,Offroader / SUV,Göy,1.7,80,Benzin,83000,Mexaniki,Tam,Xeyr,Bəli
55500,$,Bakı,Lexus,LX 570,2012,Offroader / SUV,Ağ,5.7,388,Benzin,106600,Avtomat,Tam,Xeyr,Bəli
46800,$,Bakı,Land Rover,Discovery,2014,Offroader / SUV,Boz,3,249,Benzin,83000,Avtomat,Tam,Xeyr,Bəli
17500,AZN,Bakı,Suzuki,XL7,2006,Offroader / SUV,Ağ,3.6,280,Benzin,178000,Avtomat,Tam,Xeyr,Bəli
16600,$,Bakı,Volkswagen,Passat,2016,Sedan,Qara,1.8,180,Benzin,55000,Avtomat,Ön,Xeyr,Xeyr
66000,$,Bakı,Porsche,Panamera GTS,2014,Hetçbek / Liftbek,Ağ,4.8,440,Benzin,80000,Avtomat,Tam,Xeyr,Xeyr
62500,$,Bakı,Lexus,LX 570,2012,Offroader / SUV,Ağ,5.7,383,Benzin,87000,Avtomat,Tam,Xeyr,Xeyr
19900,AZN,Bakı,Nissan,Juke,2012,Offroader / SUV,Qara,1.6,93,Benzin,85000,Avtomat,Ön,Xeyr,Xeyr
51500,$,Bakı,Land Rover,Range Rover,2012,Offroader / SUV,Qara,5,510,Benzin,80000,Avtomat,Tam,Xeyr,Xeyr
33800,$,Bakı,Toyota,Land Cruiser,2008,Offroader / SUV,Yaş Asfalt,4.7,288,Benzin,145000,Avtomat,Tam,Xeyr,Xeyr
13700,AZN,Bakı,Hyundai,i30,2008,Hetçbek / Liftbek,Qara,1.6,130,Benzin,152301,Avtomat,Ön,Xeyr,Xeyr
14000,AZN,Bakı,Hyundai,Elantra,2008,Sedan,Ağ,1.6,110,Benzin,172000,Avtomat,Ön,Xeyr,Xeyr
4800,AZN,Bakı,Opel,Omega,1995,Sedan,Boz,2,136,Benzin,299259,Avtomat,Arxa,Xeyr,Bəli
7700,AZN,Bakı,LADA (VAZ),2107,2008,Sedan,Ağ,1.6,75,Benzin,189500,Mexaniki,Arxa,Xeyr,Bəli
16000,AZN,Bakı,Chevrolet,Cruze,2013,Sedan,Yaş Asfalt,1.4,141,Benzin,138000,Avtomat,Ön,Xeyr,Xeyr
19300,AZN,Bakı,Kia,Sportage,2008,Offroader / SUV,Qəhvəyi,2,142,Benzin,175500,Avtomat,Tam,Xeyr,Xeyr
1700,AZN,Yevlax,LADA (VAZ),21011,1977,Sedan,Narıncı,1.3,65,Benzin,100000,Mexaniki,Arxa,Xeyr,Xeyr
20700,$,Gəncə,Mercedes,Vito 113,2012,Van,Ağ,2.2,136,Dizel,226000,Mexaniki,Ön,Xeyr,Xeyr
17800,AZN,Bakı,Mercedes,E 220,2002,Sedan,Yaş Asfalt,2.2,170,Dizel,238000,Avtomat,Arxa,Xeyr,Xeyr
13300,AZN,Bakı,Renault,Laguna,2007,Universal,Yaş Asfalt,1.9,134,Dizel,215000,Mexaniki,Ön,Xeyr,Bəli
20500,$,Bakı,Mercedes,Vito,2011,Van,Qara,2.2,160,Dizel,237000,Mexaniki,Arxa,Xeyr,Xeyr
